Sentence|Gloss
The 利子 on that loan is honestly highway robbery.|The interest on that loan is honestly highway robbery.
We need to open a joint 口座 before we move in together.|We need to open a joint account before we move in together.
I forgot to pay my 月賦 this month and got hit with a late fee.|I forgot to pay my monthly installment this month and got hit with a late fee.
She was so 几帳面 about tracking every single expense in her spreadsheet.|She was so meticulous about tracking every single expense in her spreadsheet.
Is the 最低限 balance requirement still fifty dollars at your bank?|Is the minimum balance requirement still fifty dollars at your bank?
He put all his 余剰金 into a high-yield savings account.|He put all his surplus funds into a high-yield savings account.
The teller was surprisingly 親切 when I asked about refinancing options.|The teller was surprisingly kind when I asked about refinancing options.
My 家賃 came out of my account automatically on the first of the month.|My rent came out of my account automatically on the first of the month.
Don't forget that the 締め切り for your tax payment is coming up fast.|Don't forget that the deadline for your tax payment is coming up fast.
She found a 格安 brokerage with zero commission trades.|She found a cheap brokerage with zero commission trades.
The 担保 on the loan was their vacation property up north.|The collateral on the loan was their vacation property up north.
I honestly find the whole 節約 mindset hard to maintain when prices keep rising.|I honestly find the whole frugality mindset hard to maintain when prices keep rising.
Their 財産 had been tied up in a trust for decades.|Their assets had been tied up in a trust for decades.
He was a bit 慎重 before signing anything from the new lender.|He was a bit cautious before signing anything from the new lender.
The 振込 went through within two hours, which was faster than expected.|The bank transfer went through within two hours, which was faster than expected.
Could you remind me what the 期限 is on that promotional interest rate?|Could you remind me what the expiration date is on that promotional interest rate?
The 赤字 in her personal budget kept growing despite her best efforts.|The deficit in her personal budget kept growing despite her best efforts.
I called the bank to confirm the 引き落とし date for my insurance premium.|I called the bank to confirm the automatic debit date for my insurance premium.
She invested her whole 賞与 in index funds instead of spending it.|She invested her whole bonus in index funds instead of spending it.
The mortgage advisor was very 丁寧 and walked us through every clause.|The mortgage advisor was very polite and walked us through every clause.
My 収入 barely covers rent in this city, let alone savings.|My income barely covers rent in this city, let alone savings.
He keeps a small 緊急 fund hidden away in a separate account.|He keeps a small emergency fund hidden away in a separate account.
The 分割払い option made the purchase way more manageable for us.|The installment payment option made the purchase way more manageable for us.
She was 不満 with the annual fee and cancelled the card entirely.|She was dissatisfied with the annual fee and cancelled the card entirely.
The banker explained the 複利 effect with a really clear chart.|The banker explained the compound interest effect with a really clear chart.
I need to update my 住所 on file before I can get a new card issued.|I need to update my address on file before I can get a new card issued.
They offered a 無料 checking account with no strings attached.|They offered a free checking account with no strings attached.
The 為替 rate swings have been brutal for international wire transfers lately.|The exchange rate swings have been brutal for international wire transfers lately.
She was clearly 不安 about taking on more debt at her age.|She was clearly anxious about taking on more debt at her age.
His 信用 score dropped after he missed two consecutive payments.|His credit score dropped after he missed two consecutive payments.
The 元金 on the loan was higher than we originally thought.|The principal on the loan was higher than we originally thought.
I always review my 明細書 at the end of each billing cycle.|I always review my statement at the end of each billing cycle.
The 紅葉 along the trail was absolutely stunning this October.|The autumn foliage along the trail was absolutely stunning this October.
She always feels 寂しい when the holidays end and everyone goes home.|She always feels lonely when the holidays end and everyone goes home.
We decorated the whole house with 電飾 for the winter festival.|We decorated the whole house with lights for the winter festival.
Have you ever watched the 初日の出 from a mountain summit?|Have you ever watched the first sunrise of the new year from a mountain summit?
The children were so 元気 running through the piles of fallen leaves.|The children were so lively running through the piles of fallen leaves.
Every 大晦日 our family stays up playing board games until midnight.|Every New Year's Eve our family stays up playing board games until midnight.
The market was full of 柿 and roasted chestnuts throughout November.|The market was full of persimmons and roasted chestnuts throughout November.
It feels so 幸せ to give gifts to people you genuinely care about.|It feels so happy and fulfilling to give gifts to people you genuinely care about.
The first 雪 of the season always makes the neighborhood look magical.|The first snow of the season always makes the neighborhood look magical.
Can you believe how 静か the streets get on Christmas morning?|Can you believe how quiet the streets get on Christmas morning?
We lit the 線香花火 one by one as the summer festival wound down.|We lit the sparklers one by one as the summer festival wound down.
The 春分 marks the official moment when the days finally outlast the nights.|The spring equinox marks the official moment when the days finally outlast the nights.
I always buy too many 栗 at the autumn harvest fair.|I always buy too many chestnuts at the autumn harvest fair.
Her coat was a deep 茜色 that matched the November sunset perfectly.|Her coat was a deep madder-red that matched the November sunset perfectly.
The whole street smelled like 金木犀 every time the October breeze passed.|The whole street smelled like osmanthus every time the October breeze passed.
Does your town hold any 祭り during the summer solstice weekend?|Does your town hold any festivals during the summer solstice weekend?
The 寒さ this January has been unusually sharp even by local standards.|The cold this January has been unusually sharp even by local standards.
We wrote our wishes on cards and hung them up for 七夕.|We wrote our wishes on cards and hung them up for the star festival.
The spring air feels so 清々しい after a whole week of rain.|The spring air feels so refreshingly clear after a whole week of rain.
My grandmother's 手作り ornaments have been on our tree for thirty years.|My grandmother's handmade ornaments have been on our tree for thirty years.
The 冬至 soup my neighbor brought over warmed us straight through.|The winter solstice soup my neighbor brought over warmed us straight through.
There is something deeply 懐かしい about the smell of cinnamon in autumn.|There is something deeply nostalgic about the smell of cinnamon in autumn.
The kids were 夢中 trying to catch fireflies on midsummer nights.|The kids were completely absorbed trying to catch fireflies on midsummer nights.
We always pick 菜の花 from the field behind the house in early spring.|We always pick rapeseed flowers from the field behind the house in early spring.
The crowd at the New Year's parade was surprisingly 賑やか this year.|The crowd at the New Year's parade was surprisingly lively and bustling this year.
I find the 夕暮れ on the last evening of a holiday strangely beautiful.|I find the dusk on the last evening of a holiday strangely beautiful.
Her Easter dress was a soft 桃色 that suited the warm afternoon perfectly.|Her Easter dress was a soft peach-pink that suited the warm afternoon afternoon perfectly.
The 朝霧 rolling over the pumpkin field gave the farm a mysterious look.|The morning mist rolling over the pumpkin field gave the farm a mysterious look.
Please send me a 便り from wherever you spend your winter vacation.|Please send me a letter from wherever you spend your winter vacation.
The holiday table looked so 豪華 with all the candles and fresh flowers.|The holiday table looked so luxurious and grand with all the candles and fresh flowers.
We heard the 除夜の鐘 faintly in the distance just after midnight.|We heard the New Year's Eve bell faintly in the distance just after midnight.
The 若葉 on the cherry trees made May feel genuinely new and fresh.|The young leaves on the cherry trees made May feel genuinely new and fresh.
I think spring is 一番 beautiful in a rainy northern coastal town.|I think spring is the most beautiful in a rainy northern coastal town.
The autumn festival felt so 本物 compared to the commercialized versions elsewhere.|The autumn festival felt so authentic compared to the commercialized versions elsewhere.
She kept the 押し花 she collected during her spring trip inside her journal.|She kept the pressed flowers she collected during her spring trip inside her journal.
The 長雨 in June makes everything smell like wet earth and green leaves.|The long seasonal rain in June makes everything smell like wet earth and green leaves.
His holiday sweater had little 雪だるま knitted all around the collar.|His holiday sweater had little snowmen knitted all around the collar.
The whole valley looked 真っ白 the morning after the first winter storm.|The whole valley looked completely white the morning after the first winter storm.
We stayed 外 until nearly ten watching the midsummer fireworks burst overhead.|We stayed outside until nearly ten watching the midsummer fireworks burst overhead.
The 風鈴 on the porch chimed softly through every hot August afternoon.|The wind chime on the porch chimed softly through every hot August afternoon.
I finally got around to doing the 洗濯 this afternoon.|I finally got around to doing the laundry this afternoon.
The 台所 was an absolute disaster after last night's dinner party.|The kitchen was an absolute disaster after last night's dinner party.
Can you grab the 雑巾 from under the sink?|Can you grab the rag from under the sink?
She wiped down every 棚 in the living room before the guests arrived.|She wiped down every shelf in the living room before the guests arrived.
I bought a new 掃除機 because the old one kept losing suction.|I bought a new vacuum cleaner because the old one kept losing suction.
The 窓 in the bedroom haven't been cleaned since spring.|The windows in the bedroom haven't been cleaned since spring.
Please put the clean 食器 back in the cupboard when you're done.|Please put the clean dishes back in the cupboard when you're done.
He spent all Saturday morning scrubbing the 浴室 tiles.|He spent all Saturday morning scrubbing the bathroom tiles.
I ran out of 洗剤 right in the middle of cleaning the oven.|I ran out of detergent right in the middle of cleaning the oven.
Are you the one who left the wet 洗濯物 sitting in the machine overnight?|Are you the one who left the wet laundry sitting in the machine overnight?
The 床 in the hallway gets so dusty during pollen season.|The floor in the hallway gets so dusty during pollen season.
We really need to sort through all this 不用品 in the garage.|We really need to sort through all this unwanted junk in the garage.
I use a 手ぬぐい to dry the countertops after wiping them down.|I use a thin cotton cloth to dry the countertops after wiping them down.
The 押し入れ is completely packed — we need to declutter soon.|The storage closet is completely packed — we need to declutter soon.
She scrubbed the 鍋 until it looked brand new again.|She scrubbed the pot until it looked brand new again.
Did you remember to take out the 燃えるごみ this morning?|Did you remember to take out the burnable trash this morning?
I always feel so 爽快 after a deep-clean session.|I always feel so refreshed after a deep-clean session.
The 排水口 in the shower is clogged again and it's driving me crazy.|The drain in the shower is clogged again and it's driving me crazy.
Let's do a thorough 大掃除 before the new year rolls in.|Let's do a thorough big clean before the new year rolls in.
He swept the 玄関 and it already made the whole entryway look better.|He swept the entryway floor and it already made the whole place look better.
I hung the 布団 out on the balcony to air it out in the sun.|I hung the bedding out on the balcony to air it out in the sun.
Could you wipe the 鏡 before our guests use the bathroom?|Could you wipe the mirror before our guests use the bathroom?
The 天井 above the stove is covered in grease — it needs serious attention.|The ceiling above the stove is covered in grease — it needs serious attention.
I spent twenty minutes trying to untangle the 電源コード behind the TV unit.|I spent twenty minutes trying to untangle the power cord behind the TV unit.
She lined the 引き出し with fresh paper after cleaning them out.|She lined the drawers with fresh paper after cleaning them out.
We keep all the cleaning supplies in that 物置 out back.|We keep all the cleaning supplies in that storage shed out back.
I need to scrub the 目地 between the bathroom tiles — it's gotten so dark.|I need to scrub the grout between the bathroom tiles — it's gotten so dark.
The 玄関マット gets so dirty when it rains — I wash it every week.|The doormat gets so dirty when it rains — I wash it every week.
Don't forget to dust the 欄間 up near the ceiling before you finish.|Don't forget to dust the decorative transom area up near the ceiling before you finish.
I finally tackled that pile of 古新聞 that had been sitting in the corner for months.|I finally tackled that pile of old newspapers that had been sitting in the corner for months.
She polished the 木製 furniture until it had a proper shine.|She polished the wooden furniture until it had a proper shine.
My roommate is super 几帳面 when it comes to keeping the fridge organized.|My roommate is super meticulous when it comes to keeping the fridge organized.
I need a longer 柄 on this mop to reach the back of the closet.|I need a longer handle on this mop to reach the back of the closet.
The recycling 分別 rules in this neighborhood are really strict.|The recycling separation rules in this neighborhood are really strict.
I put a 消臭剤 behind the trash can to keep the kitchen smelling fresh.|I put a deodorizer behind the trash can to keep the kitchen smelling fresh.
After mopping, the 廊下 smelled like fresh lemon for the whole afternoon.|After mopping, the corridor smelled like fresh lemon for the whole afternoon.
He wiped every 照明 fixture in the room with a dry cloth.|He wiped every light fixture in the room with a dry cloth.
I really dislike cleaning behind the 冷蔵庫 — there's always so much dust back there.|I really dislike cleaning behind the refrigerator — there's always so much dust back there.
It took us three hours to get the entire 部屋 spotless before the inspection.|It took us three hours to get the entire room spotless before the inspection.
The 汚れ on the stovetop won't come off no matter how hard I scrub.|The stain on the stovetop won't come off no matter how hard I scrub.
She's been feeling かなり tired lately and should really see a doctor.|She's been feeling quite tired lately and should really see a doctor.
The doctor said my blood pressure is 正常 for my age.|The doctor said my blood pressure is normal for my age.
Is it 大丈夫 to take both of these medications at the same time?|Is it okay to take both of these medications at the same time?
I always feel 不安 before getting a blood test.|I always feel anxious before getting a blood test.
The nurse explained the procedure in a very 丁寧 way.|The nurse explained the procedure in a very careful and thorough way.
He recovered from surgery 早く than anyone expected.|He recovered from surgery faster than anyone expected.
My grandfather visits the 内科 every month for his check-up.|My grandfather visits the internal medicine clinic every month for his check-up.
The side effects were 軽い, so she continued the treatment.|The side effects were mild, so she continued the treatment.
Can you tell me what the 症状 started with?|Can you tell me what the symptoms started with?
The therapist's advice was 本当に helpful for managing my anxiety.|The therapist's advice was really helpful for managing my anxiety.
I've had a 頭痛 since early this morning and it won't go away.|I've had a headache since early this morning and it won't go away.
She takes her 薬 every morning without fail.|She takes her medicine every morning without fail.
The waiting room at the 病院 was completely packed.|The waiting room at the hospital was completely packed.
His 体温 was slightly elevated, so they kept him overnight for observation.|His body temperature was slightly elevated, so they kept him overnight for observation.
I feel まあまあ better after resting for two days.|I feel so-so / somewhat better after resting for two days.
She felt a sharp 痛み in her lower back during the workout.|She felt a sharp pain in her lower back during the workout.
The 外科医 performed the operation in under two hours.|The surgeon performed the operation in under two hours.
We were かなり worried until the test results came back negative.|We were quite worried until the test results came back negative.
His 体力 has declined a lot since he stopped exercising regularly.|His physical strength has declined a lot since he stopped exercising regularly.
The clinic offers free 検診 every spring for residents over fifty.|The clinic offers free health screenings every spring for residents over fifty.
I've been feeling 元気 again ever since I started the new vitamins.|I've been feeling energetic and well again ever since I started the new vitamins.
The 傷口 healed much faster than the doctor anticipated.|The wound healed much faster than the doctor anticipated.
She handled the 手術 news with remarkable composure.|She handled the surgery news with remarkable composure.
Are you drinking 十分 water throughout the day?|Are you drinking enough water throughout the day?
The 看護師 on the night shift was incredibly patient with everyone.|The nurse on the night shift was incredibly patient with everyone.
My 胃 has been acting up ever since I changed my diet.|My stomach has been acting up ever since I changed my diet.
This new therapy is 画期的 compared to what was available ten years ago.|This new therapy is groundbreaking compared to what was available ten years ago.
The rehabilitation program felt 長い but the results were worth it.|The rehabilitation program felt long but the results were worth it.
I need to pick up my 処方箋 from the pharmacy before it closes.|I need to pick up my prescription from the pharmacy before it closes.
She was advised to rest 完全に for at least one week after the procedure.|She was advised to rest completely for at least one week after the procedure.
His 食欲 came back stronger once they adjusted the medication dosage.|His appetite came back stronger once they adjusted the medication dosage.
The pediatrician said the child's 発育 was right on track.|The pediatrician said the child's growth and development was right on track.
I feel much more 安心 now that the biopsy results are clear.|I feel much more relieved now that the biopsy results are clear.
The hospital's 設備 is truly state-of-the-art.|The hospital's facilities are truly state-of-the-art.
She found the 漢方 treatment surprisingly effective for her chronic fatigue.|She found the traditional herbal medicine treatment surprisingly effective for her chronic fatigue.
My 免疫 system has been weak all winter and I keep catching colds.|My immune system has been weak all winter and I keep catching colds.
The 整形外科 specialist recommended physical therapy over surgery.|The orthopedic specialist recommended physical therapy over surgery.
I was 正直 shocked at how quickly the swelling went down.|I was honestly shocked at how quickly the swelling went down.
The doctor's calm 態度 really put the whole family at ease.|The doctor's calm attitude and demeanor really put the whole family at ease.
She runs every morning with すごい dedication, even in the rain.|She runs every morning with amazing dedication, even in the rain.
The gym was 満員 by six o'clock, so we waited outside.|The gym was full by six o'clock, so we waited outside.
He lifted more weight than anyone expected — truly 強い performance.|He lifted more weight than anyone expected — truly a strong performance.
Can you show me the correct 姿勢 for a deadlift?|Can you show me the correct posture for a deadlift?
After the marathon, her 足 were so sore she could barely walk.|After the marathon, her feet were so sore she could barely walk.
We need to warm up 丁寧に before we start sprinting.|We need to warm up carefully before we start sprinting.
The coach gave a 熱い speech that fired the whole team up.|The coach gave a passionate speech that fired the whole team up.
My 体力 has really improved since I started swimming twice a week.|My physical stamina has really improved since I started swimming twice a week.
Is the 試合 this Saturday or next Saturday?|Is the match this Saturday or next Saturday?
He swims with such 優雅 style that it looks almost effortless.|He swims with such elegant style that it looks almost effortless.
She set a new 記録 in the hundred-meter dash last weekend.|She set a new record in the hundred-meter dash last weekend.
The 練習 schedule this week is intense — two sessions a day.|The practice schedule this week is intense — two sessions a day.
I feel 最高 after a long cycling session in the mountains.|I feel amazing after a long cycling session in the mountains.
Don't skip your 準備運動 — your muscles will thank you later.|Don't skip your warm-up exercises — your muscles will thank you later.
He plays basketball with such 気合い that it intimidates the other team.|He plays basketball with such fierce energy that it intimidates the other team.
The stadium was 静か during the penalty kick, then it erupted.|The stadium was quiet during the penalty kick, then it erupted.
Her 反射 speed on the court is faster than anyone I've seen.|Her reflexes on the court are faster than anyone I've seen.
We do 腹筋 every morning before the main workout begins.|We do abdominal exercises every morning before the main workout begins.
That climbing route is 危険 — you need proper equipment and a guide.|That climbing route is dangerous — you need proper equipment and a guide.
He always stretches 念入りに to avoid pulling a muscle.|He always stretches thoroughly to avoid pulling a muscle.
The team's 作戦 completely changed in the second half of the game.|The team's strategy completely changed in the second half of the game.
She felt 自信 flooding back when she finally nailed the dismount.|She felt confidence flooding back when she finally nailed the dismount.
My trainer says 休息 days are just as important as training days.|My trainer says rest days are just as important as training days.
The 応援 from the crowd pushed the runners through the final kilometer.|The cheering from the crowd pushed the runners through the final kilometer.
He's been working on his 体幹 strength for the past three months.|He's been working on his core strength for the past three months.
That was a 完璧 backhand — I have no idea how she pulled it off.|That was a perfect backhand — I have no idea how she pulled it off.
The 道場 atmosphere is strict, but everyone there respects each other deeply.|The training hall atmosphere is strict, but everyone there respects each other deeply.
She decided to focus on 持久力 rather than raw speed this season.|She decided to focus on endurance rather than raw speed this season.
He was 必死 in overtime, diving for every loose ball on the court.|He was desperate in overtime, diving for every loose ball on the court.
The referee's decision felt 不公平 to everyone watching from the stands.|The referee's decision felt unfair to everyone watching from the stands.
Our coach demands 集中 during every single drill, no exceptions.|Our coach demands focus during every single drill, no exceptions.
She wore a 軽い brace on her knee for the entire tournament.|She wore a light brace on her knee for the entire tournament.
The team's 勢い after halftime was impossible to slow down.|The team's momentum after halftime was impossible to slow down.
He completed the triathlon with remarkable 根性 despite the brutal heat.|He completed the triathlon with remarkable grit despite the brutal heat.
The 間合い between the two fencers shifted with every small footstep.|The fighting distance between the two fencers shifted with every small footstep.
She trains with a 真剣 intensity that makes even veterans take notice.|She trains with a serious intensity that makes even veterans take notice.
That routine was 見事 — the judges gave her the highest score of the night.|That routine was splendid — the judges gave her the highest score of the night.
He lost by only one point, yet he stayed 冷静 and bowed gracefully.|He lost by only one point, yet he stayed calm and bowed gracefully.
The cycling team rode in tight 隊列 all the way through the mountain pass.|The cycling team rode in tight formation all the way through the mountain pass.
My 目標 this year is to finish a half marathon under two hours.|My goal this year is to finish a half marathon under two hours.
空港でcheck-inの列がとても長かったです。|The check-in line at the airport was very long.
この街のold townエリアは本当に美しいですね。|The old town area of this city is really beautiful.
バスのscheduleを確認してから出発しましょう。|Let's confirm the bus schedule before we leave.
その展望台からのviewは息をのむほど素晴らしかった。|The view from that observation deck was breathtaking.
今日のhighlightはやっぱり古い寺院の見学でした。|Today's highlight was definitely the tour of the old temple.
この地図はちょっとout of dateで使いにくいな。|This map is a bit out of date and hard to use.
フェリーのdeck上から島の全景が見えました。|From the ferry deck, we could see the whole island.
旅行中に偶然すごくcozyなカフェを見つけました。|During my trip I happened to find a really cozy café.
その博物館のentrance feeはいくらですか？|How much is the entrance fee for that museum?
荷物が重すぎてstorage locker を借りることにした。|My luggage was too heavy so I decided to rent a storage locker.
この路地はとてもphotogenicで何枚も写真を撮った。|This alley is very photogenic so I took many photos.
彼女はtrip全体をとても細かく計画していた。|She planned the entire trip in very fine detail.
海岸沿いのsunset はこの旅で一番の思い出です。|The sunset along the coast is my favorite memory of this trip.
バスに乗り遅れたのでtaxiで空港まで行きました。|I missed the bus so I took a taxi to the airport.
その古城のguided tourに参加してみませんか？|Would you like to join the guided tour of that old castle?
荷物をpackする前にパスポートを確認した。|I checked my passport before packing my luggage.
この村のlocal marketで手作りの雑貨を買いました。|I bought handmade goods at the local market in this village.
海辺のresortは想像以上に静かで落ち着いていた。|The seaside resort was much quieter and more relaxing than I'd imagined.
山の中のtrailを三時間かけてゆっくり歩きました。|I walked slowly along the mountain trail for three hours.
飛行機のwindow seatから雲海が見えて感動した。|I was moved to see a sea of clouds from the window seat of the plane.
旅行のbudgetがほぼなくなってきてしまった。|My travel budget is almost gone.
その港町のseafood marketは早朝から賑わっていた。|The seafood market in that port town was bustling from early morning.
このルートはとてもscenic で運転が楽しかった。|This route is very scenic and the drive was enjoyable.
宿のcheck-out timeは正午なので急がなくていい。|Check-out time at the inn is noon so we don't need to hurry.
城壁の上からのpanoramaは言葉では表せないほどだった。|The panorama from atop the castle walls was beyond words.
旅行中に急にweatherが変わって傘が必要になった。|The weather changed suddenly during the trip and I needed an umbrella.
その洞窟へのaccessはかなり難しかったが行く価値はあった。|Access to that cave was quite difficult but it was worth the visit.
観光地で偶然friendlyな地元の人たちに助けてもらった。|At the tourist spot I was unexpectedly helped by some friendly locals.
このhostelは清潔だし立地も最高でコスパが良い。|This hostel is clean, in a great location, and excellent value for money.
川沿いのsunrise を見るために早起きする価値がある。|It's worth waking up early to see the sunrise along the river.
古い市場のalleyway を迷いながら歩くのが楽しかった。|I enjoyed wandering through the alleyways of the old market.
そのカフェのrooftop席からは街全体が一望できた。|From the rooftop seats of that café you could see the whole city.
旅の最後にsouvenir shopでみんなへのお土産を買った。|At the souvenir shop at the end of the trip I bought gifts for everyone.
このoff-season の時期は観光客が少なくてとても快適だ。|During this off-season period there are few tourists and it's very comfortable.
ハイキングのafter-effectで足が筋肉痛になってしまった。|My legs got sore from the after-effects of hiking.
その公園のmain gateの前で集合することになっています。|We're supposed to gather in front of the main gate of that park.
旅行の計画はflexibleにしておくほうが楽しめると思う。|I think keeping your travel plans flexible makes the trip more enjoyable.
今月のbudgetがかなり厳しいです。|This month's budget is pretty tight.
銀行でsavingsの口座を開きたいんですが。|I'd like to open a savings account at the bank.
このcreditカードの年会費はいくらですか？|How much is the annual fee for this credit card?
彼女はいつもcashで払うことにしている。|She always makes a point of paying with cash.
transferの手続きに時間がかかりすぎた。|The transfer process took way too long.
毎月automaticに引き落とされる設定にしました。|I set it up to be deducted automatically every month.
interestの利率がこんなに上がるとは思わなかった。|I didn't expect the interest rate to rise this much.
投資でlossを出してしまって、かなり落ち込んでいる。|I'm pretty down because I took a loss on an investment.
銀行のloansの審査が思ったより厳しかった。|The bank's loan screening was stricter than I expected.
彼のdebtは来年までに返済できるらしい。|It seems he can be able to repay his debt by next year.
この店はcontactlessの支払いに対応していますか？|Does this shop accept contactless payment?
mortgageの残高を確認するのが怖い。|I'm afraid to check my mortgage balance.
exchangeレートが急に変わって困っている。|The exchange rate suddenly changed and I'm in trouble.
毎週末にspendingを見直す習慣がある。|I have a habit of reviewing my spending every weekend.
accountのパスワードを定期的に変えてください。|Please change your account password regularly.
overdraftになってしまって、銀行から連絡が来た。|I went into overdraft and got a call from the bank.
このfundに投資するのはリスクが高いですよね。|Investing in this fund is quite risky, isn't it?
定期預金のmaturityはいつになりますか？|When is the maturity date on the fixed deposit?
withdwawに必要な書類を全部持ってきました。|I brought all the documents needed for the withdrawal.
彼はfinancialに非常に賢い人だと思う。|I think he's a financially very smart person.
weeklyのレポートで支出の傾向が見えてきた。|The weekly report made the spending trends clear.
receiptsをちゃんと保管しておくべきだった。|I should have kept the receipts properly.
インターネットでonlineバンキングを初めて使ってみた。|I tried using online banking on the internet for the first time.
このcurrencyは空港で換えておいたほうがいい。|You'd better exchange this currency at the airport.
年末にbonusが出たら貯金しようと思っている。|I'm thinking of saving when the bonus comes out at year-end.
彼女のportfolioは非常にバランスが取れている。|Her portfolio is very well balanced.
手数料がexpensiveすぎて別の銀行に変えました。|The fees were too expensive so I switched to a different bank.
stockの価格が今週に入って急落した。|The stock price plummeted entering this week.
月末にstatementを見ると使いすぎに気づく。|Looking at the statement at month-end, I realize I've overspent.
pensionの受け取り方法について相談したい。|I'd like to consult about how to receive my pension.
earningsが上がったので税金も増えた。|My taxes increased because my earnings went up.
投資信託のreturnsが予想より良かった。|The returns on the investment trust were better than expected.
cashflowが悪化しているのが心配だ。|I'm worried that the cash flow is getting worse.
collateralとして家を提供しなければならなかった。|I had to provide my house as collateral.
jointの口座を開くには二人が揃う必要がある。|Both people need to be present to open a joint account.
このfixedの金利はあと五年間続きます。|This fixed interest rate will continue for another five years.
remittanceの確認番号をメモしておいてください。|Please write down the remittance confirmation number.
銀行のfraudに遭わないよう注意が必要だ。|You need to be careful not to fall victim to bank fraud.
荷物のtrackingをすぐに確認してください。|Please check the package tracking right away.
今日、大きなparcelが届きました。|A large parcel arrived today.
この封筒はoversize料金がかかります。|This envelope requires an oversize fee.
配達員がsignatureを求めてきました。|The delivery person came asking for a signature.
郵便局でlabelを印刷しました。|I printed a label at the post office.
荷物のdeliveryが遅れているようです。|It seems the delivery of the package is delayed.
このboxはとても丈夫そうですね。|This box looks very sturdy, doesn't it.
受け取り確認のnotificationが届きました。|A notification of receipt confirmation arrived.
fragileと書いてある箱を丁寧に扱ってください。|Please handle the box marked fragile carefully.
郵便局員がreturnラベルを貼ってくれました。|The postal worker put a return label on it for me.
来週のshipmentに間に合いますか。|Will it make it in time for next week's shipment?
このpackageは海外に送ることができますか。|Can this package be sent overseas?
overnight便を使えば明日着きます。|If you use overnight shipping, it will arrive tomorrow.
受け取り人のaddressが間違っていました。|The recipient's address was wrong.
その小包はsecureにテープで閉じてください。|Please close that parcel securely with tape.
郵便番号とzip codeは違う場合があります。|Postal codes and zip codes may differ.
expressで送ったのにまだ届いていません。|I sent it express, but it still hasn't arrived.
この書類はregisteredで出した方がいいです。|It's better to send these documents registered mail.
宛名のstickerが剥がれてしまいました。|The address sticker came off.
郵便局はweekdayしか開いていません。|The post office is only open on weekdays.
重い荷物のpick-upを頼みました。|I requested a pick-up for the heavy luggage.
このcustoms申告書を記入してください。|Please fill out this customs declaration form.
荷物がflatになるように詰めてください。|Please pack it so the package lies flat.
priorityで送れば三日以内に届きます。|If you send it priority, it will arrive within three days.
郵便局のcounterはいつも混んでいます。|The post office counter is always crowded.
sender情報を必ず書いてください。|Please be sure to write the sender information.
このbubble wrapは荷物を守るためのものです。|This bubble wrap is to protect the package.
荷物のweight制限を超えてしまいました。|I exceeded the package weight limit.
郵便受けにnoticeが入っていました。|There was a notice in the mailbox.
この荷物はfragileなので上に積まないでください。|This package is fragile, so please don't stack anything on top of it.
directに届けてもらえますか。|Could you have it delivered directly?
cashierに切手代を払いました。|I paid for the stamps at the cashier.
その荷物のcontentsを申告する必要があります。|You need to declare the contents of that package.
インターネットでdelivery時間を変更しました。|I changed the delivery time on the internet.
この封筒はsealされていませんでした。|This envelope was not sealed.
受け取り場所をlocker指定にしました。|I set a locker as the pickup location.
郵便局員がpoliteにサービスを説明してくれました。|The postal worker politely explained the service to me.
このcargo便はいつ出発しますか。|When does this cargo flight depart?
荷物が無事に届いたのでreliefを感じました。|I felt relief that the package arrived safely.
今日のlectureはとても長かった。|Today's lecture was really long.
このessayの締め切りは明日です。|The deadline for this essay is tomorrow.
図書館でquizの勉強をしています。|I'm studying for the quiz at the library.
先生のfeedbackを読んで、少し落ち込んだ。|I read the teacher's feedback and felt a little discouraged.
あなたのnotebookを貸してもらえますか？|Could you lend me your notebook?
今学期はchemistryがとても難しい。|Chemistry is really difficult this semester.
彼女はいつもclassroomの一番前に座る。|She always sits in the very front of the classroom.
そのtextbookはもう古くて使えない。|That textbook is too old to use anymore.
私のscheduleはこの週びっしり詰まっている。|My schedule is packed solid this week.
試験前にはextra creditの課題を出してくれる先生もいる。|Some teachers give extra credit assignments before exams.
彼はdebateの授業でいつも堂々としている。|He's always confident in debate class.
このparagraphの意味がよく分からない。|I don't really understand the meaning of this paragraph.
先生がprojectの説明を始めた。|The teacher began explaining the project.
私たちはlabで実験の結果をまとめた。|We compiled the experiment results in the lab.
彼女のpresentationはクラス全員を驚かせた。|Her presentation surprised the whole class.
今日はcampusの新しいカフェに行ってみたい。|I want to try going to the new café on campus today.
そのoutlineを先生に提出する前に見直してね。|Review that outline before submitting it to the teacher.
彼は毎朝flashcardで単語を覚えている。|He memorizes vocabulary with flashcards every morning.
私のdormの部屋は狭いけど居心地がいい。|My dorm room is small but comfortable.
この授業のgradeはほとんどが期末試験で決まる。|The grade in this class is mostly determined by the final exam.
先生はいつもdetailedなコメントをくれる。|The teacher always gives detailed comments.
放課後にlibraryで会いましょう。|Let's meet at the library after school.
彼女はとてもcreativeなレポートを書いた。|She wrote a very creative report.
今日のseminarでは活発な議論があった。|There was a lively discussion in today's seminar.
私はdraftを三回書き直した。|I rewrote the draft three times.
このchapterを読んでから寝るつもりだ。|I plan to read this chapter before going to sleep.
彼のacademicな成績はクラスでトップだ。|His academic results are the top of the class.
私はonlineの授業よりも対面の授業が好きだ。|I prefer in-person classes over online ones.
その先生のteaching styleはとても分かりやすい。|That teacher's teaching style is very easy to understand.
